group_id,user_id,role,joined_at,messages_sent_30d,messages_read_30d,replies_sent_30d,notifications_dismissed_30d,group_muted_by_user
group_005,u_009,member,2026-03-26,8,8,1,2,0
group_005,u_012,member,2026-01-06,6,6,1,0,0
group_005,u_013,member,2026-04-13,8,8,3,1,0
group_005,u_015,member,2026-07-17,0,5,0,2,0
group_005,u_016,member,2026-03-27,7,7,1,3,0
group_005,u_018,member,2026-01-07,9,9,2,4,0
group_005,u_020,member,2026-04-14,4,4,0,5,0
group_005,u_021,member,2026-07-17,7,7,1,2,0
group_005,u_023,member,2026-03-01,0,5,0,0,0
group_005,u_024,member,2026-01-08,3,4,0,1,0
group_005,u_027,member,2026-04-15,1,1,0,9,1
group_005,u_028,member,2026-07-17,8,8,1,3,0
group_005,u_029,member,2026-03-02,4,6,0,4,0
group_005,u_032,member,2026-01-09,0,1,0,3,0
group_005,u_033,member,2026-04-16,2,4,0,9,1
group_005,u_034,member,2026-07-17,27,35,6,0,0
group_005,u_036,member,2026-03-03,19,19,5,1,0
group_005,u_038,member,2026-01-10,5,5,1,2,0
group_005,u_039,member,2026-04-17,0,3,0,3,0
group_005,u_040,member,2026-07-17,1,1,0,9,1
group_005,u_048,member,2026-04-11,6,13,1,1,0
group_005,u_052,member,2026-07-17,10,13,2,2,1
group_005,u_049,member,2026-03-25,1,2,0,3,0
group_005,u_050,member,2026-01-05,4,12,0,0,0
group_006,u_004,member,2024-06-16,9,9,2,1,0
group_006,u_008,admin,2023-09-23,8,8,2,2,0
group_006,u_010,member,2024-12-03,4,4,1,3,0
group_006,u_012,member,2024-03-10,7,7,1,4,0
group_006,u_015,member,2024-06-17,0,1,0,5,0
group_006,u_016,member,2024-09-24,3,3,1,6,0
group_006,u_020,member,2024-12-04,9,9,1,0,0
group_006,u_023,member,2024-03-11,4,12,1,1,0
group_006,u_025,member,2024-06-18,3,3,0,2,0
group_006,u_028,member,2024-09-25,0,2,0,3,0
group_006,u_030,member,2024-12-05,1,1,0,4,0
group_006,u_034,member,2024-03-12,7,10,1,5,0
group_006,u_037,member,2024-06-19,5,5,1,6,0
group_006,u_039,member,2024-09-26,7,7,1,0,0
group_006,u_054,member,2024-06-16,8,13,1,1,0
group_006,u_051,member,2024-09-23,6,6,1,4,1
group_007,u_003,member,2025-08-21,2,2,0,2,0
group_007,u_007,member,2025-11-01,9,9,2,3,0
group_007,u_008,member,2025-02-08,23,23,5,4,0
group_007,u_012,admin,2024-05-15,11,11,4,2,0
group_007,u_015,member,2025-08-22,8,9,1,6,0
group_007,u_018,member,2025-11-02,6,6,1,0,0
group_007,u_021,member,2025-02-09,9,9,3,1,0
group_007,u_024,member,2025-05-16,1,2,0,2,0
group_007,u_026,member,2025-08-23,26,26,6,3,0
group_007,u_027,member,2025-11-03,4,4,1,4,0
group_007,u_032,member,2025-02-10,15,15,3,2,0
group_007,u_035,member,2025-05-17,3,3,1,5,0
group_007,u_038,member,2025-08-24,7,7,1,0,0
group_007,u_039,member,2025-11-04,16,16,3,1,0
group_007,u_040,member,2025-02-11,2,2,0,2,0
group_007,u_054,member,2025-08-21,0,1,0,1,0
group_007,u_052,member,2025-11-01,9,12,1,1,1
group_009,u_009,member,2023-10-26,15,15,3,1,0
group_009,u_010,admin,2023-01-06,6,6,1,4,0
group_009,u_014,member,2023-04-13,11,11,2,5,0
group_009,u_016,member,2023-07-20,4,4,1,6,0
group_009,u_018,member,2023-10-27,0,1,0,0,0
group_009,u_022,member,2023-01-07,4,4,1,0,0
group_009,u_025,member,2023-04-14,12,12,2,2,0
group_009,u_030,member,2023-07-21,6,6,1,3,0
group_009,u_035,member,2023-10-01,6,6,1,4,0
group_009,u_040,member,2023-01-08,0,1,0,5,0
group_009,u_041,member,2023-10-26,2,5,0,1,0
group_009,u_042,member,2023-01-06,0,2,0,2,0
group_009,u_051,member,2023-04-13,6,6,1,4,1
group_010,u_002,member,2024-12-04,2,2,0,4,0
group_010,u_004,member,2024-03-11,3,3,1,5,0
group_010,u_007,member,2024-06-18,5,5,1,6,0
group_010,u_008,member,2024-09-25,2,3,0,0,0
group_010,u_010,member,2024-12-05,4,4,0,1,0
group_010,u_012,member,2024-03-12,9,9,2,2,0
group_010,u_013,member,2024-06-19,10,10,3,3,0
group_010,u_015,member,2024-09-26,23,24,5,4,0
group_010,u_019,member,2024-12-06,0,2,0,5,0
group_010,u_020,admin,2023-03-13,8,8,3,6,0
group_010,u_023,member,2024-06-20,1,3,0,0,0
group_010,u_024,member,2024-09-27,17,17,6,1,0
group_010,u_026,member,2024-12-07,1,2,0,2,0
group_010,u_028,member,2024-03-14,7,7,1,3,0
group_010,u_029,member,2024-06-21,6,12,0,4,0
group_010,u_031,member,2024-09-01,17,17,4,5,0
group_010,u_033,member,2024-12-08,1,4,0,6,0
group_010,u_034,member,2024-03-15,0,9,0,0,0
group_010,u_037,member,2024-06-22,9,9,4,1,0
group_010,u_039,member,2024-09-02,12,12,3,2,0
group_010,u_043,admin,2023-12-04,21,21,6,1,0
group_010,u_044,member,2024-03-11,5,12,1,2,0
group_010,u_053,admin,2023-06-18,22,22,6,3,0
group_010,u_047,member,2024-09-25,4,12,0,0,0
group_011,u_001,member,2024-02-09,9,9,2,2,0
group_011,u_006,member,2024-05-16,19,20,4,6,0
group_011,u_011,member,2024-08-23,12,15,7,0,0
group_011,u_014,member,2024-11-03,3,3,0,1,0
group_011,u_017,admin,2023-02-10,8,8,2,2,0
group_011,u_022,member,2024-05-17,11,11,3,1,0
group_011,u_025,member,2024-08-24,4,5,0,4,0
group_011,u_027,member,2024-11-04,4,4,0,5,0
group_011,u_030,member,2024-02-11,0,2,0,6,0
group_011,u_032,member,2024-05-18,4,4,1,0,0
group_011,u_035,member,2024-08-25,15,15,4,1,0
group_011,u_036,member,2024-11-05,2,2,0,2,0
group_011,u_038,member,2024-02-12,4,4,1,3,0
group_011,u_040,member,2024-05-19,2,2,0,4,0
group_011,u_043,admin,2023-02-09,21,21,5,1,0
group_011,u_044,member,2024-05-16,8,18,1,2,0
group_011,u_051,member,2024-08-23,10,10,2,4,1
group_011,u_053,admin,2023-11-03,23,23,6,0,0
group_012,u_001,member,2025-04-14,11,11,3,2,0
group_012,u_005,member,2025-07-21,1,1,0,0,0
group_012,u_009,member,2025-10-01,17,17,4,0,0
group_012,u_012,admin,2024-01-08,10,10,3,2,0
group_012,u_016,member,2025-04-15,12,15,7,2,0
group_012,u_017,member,2025-07-22,7,7,2,4,0
group_012,u_020,member,2025-10-02,10,10,2,5,0
group_012,u_022,member,2025-01-09,3,3,1,2,0
group_012,u_024,member,2025-04-16,0,4,0,0,0
group_012,u_027,member,2025-07-23,3,3,1,1,0
group_012,u_030,member,2025-10-03,5,5,1,2,0
group_012,u_032,member,2025-01-10,4,5,1,2,0
group_012,u_035,member,2025-04-17,11,11,2,3,0
group_012,u_038,member,2025-07-24,3,3,0,5,0
group_012,u_045,admin,2024-04-14,30,48,6,1,0
group_012,u_051,member,2025-07-21,5,5,1,4,1
group_012,u_048,member,2025-10-01,1,5,0,3,0
group_013,u_002,member,2025-06-19,9,9,1,0,0
group_013,u_005,member,2025-09-26,10,10,3,1,0
group_013,u_009,member,2025-12-06,14,14,3,1,0
group_013,u_011,member,2025-03-13,10,10,2,2,0
group_013,u_013,admin,2024-06-20,10,10,3,3,0
group_013,u_019,member,2025-09-27,5,5,0,5,0
group_013,u_021,member,2025-12-07,3,3,0,2,0
group_013,u_024,member,2025-03-14,16,16,5,0,0
group_013,u_027,member,2025-06-21,7,7,1,1,0
group_013,u_032,member,2025-09-01,4,4,1,1,0
group_013,u_036,member,2025-12-08,3,3,0,3,0
group_013,u_046,admin,2024-06-19,14,14,6,1,0
group_013,u_054,member,2025-09-26,4,8,0,2,0
group_014,u_003,member,2026-01-24,4,4,0,1,0
group_014,u_006,member,2026-04-04,2,3,0,2,0
group_014,u_010,member,2026-02-11,8,8,1,3,0
group_014,u_011,member,2026-05-18,4,4,0,3,0
group_014,u_013,member,2026-01-25,0,1,0,4,0
group_014,u_014,member,2026-04-05,14,14,4,6,0
group_014,u_016,member,2026-02-12,9,9,1,0,0
group_014,u_017,member,2026-05-19,5,5,1,1,0
group_014,u_019,member,2026-01-26,0,0,0,2,0
group_014,u_022,member,2026-04-06,0,0,0,1,0
group_014,u_023,member,2026-02-13,7,13,0,4,0
group_014,u_025,member,2026-05-20,22,22,6,5,0
group_014,u_026,admin,2025-08-27,20,20,4,6,0
group_014,u_030,member,2026-04-07,10,10,2,0,0
group_014,u_031,member,2026-02-14,0,5,0,1,0
group_014,u_035,member,2026-05-21,8,8,2,2,0
group_014,u_037,member,2026-01-01,2,2,0,3,0
group_014,u_040,member,2026-04-08,4,4,1,4,0
group_014,u_048,member,2026-01-24,5,11,1,1,0
group_014,u_052,member,2026-04-04,10,13,2,1,1
group_014,u_049,member,2026-02-11,6,7,1,3,0
group_014,u_050,member,2026-05-18,2,8,0,0,0
group_015,u_001,member,2024-10-02,1,1,0,1,0
group_015,u_003,member,2024-01-09,6,6,2,2,0
group_015,u_005,member,2024-04-16,11,11,2,4,0
group_015,u_007,member,2024-07-23,6,6,1,5,0
group_015,u_009,member,2024-10-03,0,3,0,2,0
group_015,u_011,member,2024-01-10,11,11,2,0,0
group_015,u_013,member,2024-04-17,3,3,0,1,0
group_015,u_017,member,2024-07-24,14,14,5,2,0
group_015,u_021,admin,2023-10-04,8,8,1,1,0
group_015,u_026,member,2024-01-11,0,1,0,4,0
group_015,u_031,member,2024-04-18,22,22,5,5,0
group_015,u_036,member,2024-07-25,8,8,2,5,0
group_015,u_054,member,2024-10-02,8,13,1,1,0
group_015,u_051,member,2024-01-09,1,1,0,4,1
group_016,u_003,member,2024-12-07,15,15,4,2,0
group_016,u_005,member,2024-03-14,5,5,1,4,0
group_016,u_006,member,2024-06-21,5,6,0,5,0
group_016,u_009,member,2024-09-01,19,19,5,2,0
group_016,u_011,admin,2023-12-08,5,5,0,0,0
group_016,u_014,member,2024-03-15,6,6,1,1,0
group_016,u_017,member,2024-06-22,18,18,5,2,0
group_016,u_019,member,2024-09-02,6,6,1,3,0
group_016,u_022,member,2024-12-09,9,9,2,1,0
group_016,u_027,member,2024-03-16,5,5,1,5,0
group_016,u_030,member,2024-06-23,8,8,2,6,0
group_016,u_035,member,2024-09-03,5,5,1,0,0
group_016,u_038,member,2024-12-10,3,3,0,1,0
group_016,u_054,member,2024-12-07,3,6,0,1,0
group_016,u_051,member,2024-03-14,0,1,0,4,1
group_016,u_049,member,2024-06-21,11,11,2,3,0
group_017,u_003,member,2024-02-12,7,7,1,3,0
group_017,u_007,member,2024-05-19,8,8,1,5,0
group_017,u_009,member,2024-08-26,1,2,0,2,0
group_017,u_011,member,2024-11-06,13,13,3,0,0
group_017,u_014,admin,2023-02-13,18,18,9,1,0
group_017,u_017,member,2024-05-20,11,11,4,2,0
group_017,u_022,member,2024-08-27,4,4,0,1,0
group_017,u_024,member,2024-11-07,9,9,2,4,0
group_017,u_030,member,2024-02-14,5,5,1,5,0
group_017,u_036,member,2024-05-21,14,14,5,5,0
group_017,u_038,admin,2023-08-01,7,7,1,0,0
group_017,u_041,member,2024-02-12,11,23,2,1,0
group_017,u_054,member,2024-05-19,11,19,2,2,0
group_017,u_051,member,2024-08-26,9,9,2,4,1
group_018,u_004,member,2025-04-17,11,11,3,5,0
group_018,u_008,member,2025-07-24,2,4,1,9,1
group_018,u_012,member,2025-10-04,8,8,1,0,0
group_018,u_018,member,2025-01-11,14,14,4,1,0
group_018,u_021,member,2025-04-18,0,1,0,1,0
group_018,u_025,member,2025-07-25,17,17,4,3,0
group_018,u_026,member,2025-10-05,13,14,2,4,0
group_018,u_029,member,2025-01-12,17,29,4,5,0
group_018,u_035,admin,2024-04-19,14,15,8,2,0
group_018,u_037,member,2025-07-26,0,1,0,0,0
group_018,u_038,member,2025-10-06,2,2,0,1,0
group_018,u_039,member,2025-01-13,4,4,0,2,0
group_018,u_054,member,2025-04-17,10,17,2,1,0
group_018,u_051,member,2025-07-24,8,8,2,4,1
group_018,u_052,member,2025-10-04,3,6,0,1,1
group_019,u_005,member,2025-06-22,2,2,0,6,0
group_019,u_009,admin,2024-09-02,23,24,12,0,0
group_019,u_013,member,2025-12-09,10,10,2,1,0
group_019,u_015,member,2025-03-16,23,23,5,2,0
group_019,u_016,member,2025-06-23,11,11,2,3,0
group_019,u_018,member,2025-09-03,7,7,1,4,0
group_019,u_022,admin,2024-12-10,11,11,3,2,0
group_019,u_024,member,2025-03-17,9,9,2,6,0
group_019,u_028,member,2025-06-24,0,1,0,0,0
group_019,u_033,member,2025-09-04,2,4,1,9,1
group_019,u_036,member,2025-12-11,16,16,5,2,0
group_019,u_038,member,2025-03-18,5,5,1,3,0
group_019,u_040,member,2025-06-25,1,1,0,9,1
group_019,u_046,member,2025-09-05,12,12,4,5,0
group_019,u_051,member,2025-06-22,2,2,0,4,1
group_019,u_049,member,2025-09-02,10,10,2,2,0
group_019,u_050,member,2025-12-09,12,27,2,3,0
group_019,u_052,member,2025-03-16,5,9,1,1,1
group_020,u_001,member,2024-08-27,7,7,1,0,0
group_020,u_006,member,2024-11-07,8,9,2,1,0
group_020,u_010,member,2024-02-14,6,6,1,2,0
group_020,u_011,admin,2023-05-21,15,15,7,2,0
group_020,u_014,member,2024-08-01,12,12,2,4,0
group_020,u_017,member,2024-11-08,10,10,3,5,0
group_020,u_019,member,2024-02-15,11,11,2,6,0
group_020,u_021,member,2024-05-22,3,3,0,0,0
group_020,u_022,member,2024-08-02,0,1,0,0,0
group_020,u_025,member,2024-11-09,8,8,2,2,0
group_020,u_027,member,2024-02-16,3,3,0,3,0
group_020,u_030,member,2024-05-23,2,2,0,4,0
group_020,u_032,member,2024-08-03,8,9,1,2,0
group_020,u_035,member,2024-11-10,7,7,2,5,0
group_020,u_036,member,2024-02-17,1,2,0,0,0
group_020,u_040,member,2024-05-24,1,1,0,1,0
group_020,u_043,admin,2023-08-27,20,20,5,1,0
group_020,u_044,member,2024-11-07,0,2,0,2,0
group_020,u_053,admin,2023-02-14,22,22,6,3,0
group_021,u_005,admin,2024-10-05,13,13,6,1,0
group_021,u_009,member,2025-01-12,8,8,2,1,0
group_021,u_013,member,2025-04-19,6,6,1,2,0
group_021,u_015,member,2025-07-26,2,3,0,4,0
group_021,u_018,member,2025-10-06,0,4,0,5,0
group_021,u_022,admin,2024-01-13,5,5,1,2,0
group_021,u_024,member,2025-04-20,4,4,0,0,0
group_021,u_028,member,2025-07-27,5,5,1,1,0
group_021,u_033,member,2025-10-07,2,4,1,9,1
group_021,u_036,member,2025-01-14,0,2,0,3,0
group_021,u_038,member,2025-04-21,1,1,0,4,0
group_021,u_040,member,2025-07-01,4,4,1,5,0
group_021,u_054,member,2025-10-05,11,18,2,1,0
group_021,u_051,member,2025-01-12,3,3,0,4,1
group_021,u_052,member,2025-04-19,5,8,1,1,1
group_021,u_049,member,2025-07-26,11,11,2,0,0
group_022,u_001,member,2025-12-10,1,1,0,1,0
group_022,u_005,member,2025-03-17,5,5,1,3,0
group_022,u_007,member,2025-06-24,9,9,1,4,0
group_022,u_011,member,2025-09-04,1,1,0,4,0
group_022,u_013,member,2025-12-11,0,2,0,5,0
group_022,u_018,member,2025-03-18,8,8,2,0,0
group_022,u_021,admin,2024-06-25,9,9,3,0,0
group_022,u_022,member,2025-09-05,2,2,0,1,0
group_022,u_027,member,2025-12-12,1,1,0,3,0
group_022,u_030,member,2025-03-19,0,1,0,4,0
group_022,u_032,admin,2024-06-26,17,17,3,2,0
group_022,u_036,member,2025-09-06,7,7,2,5,0
group_022,u_038,member,2025-12-13,6,6,1,0,0
group_022,u_040,member,2025-03-20,0,0,0,9,1
group_022,u_048,member,2025-12-10,5,11,1,1,0
group_022,u_052,member,2025-03-17,13,17,2,1,1
group_022,u_050,member,2025-06-24,8,19,1,3,0
group_023,u_004,member,2025-02-15,10,10,2,3,0
group_023,u_008,member,2025-05-22,3,3,0,4,0
group_023,u_012,member,2025-08-02,5,5,1,5,0
group_023,u_015,member,2025-11-09,7,8,1,6,0
group_023,u_016,admin,2024-02-16,14,14,7,0,0
group_023,u_018,member,2025-05-23,11,11,3,1,0
group_023,u_020,member,2025-08-03,6,6,0,2,0
group_023,u_024,admin,2024-11-10,9,9,2,3,0
group_023,u_029,member,2025-02-17,12,18,2,4,0
group_023,u_031,member,2025-05-24,0,3,0,5,0
group_023,u_034,member,2025-08-04,19,25,3,6,0
group_023,u_037,member,2025-11-11,3,3,1,0,0
group_023,u_039,member,2025-02-18,1,1,0,1,0
group_023,u_054,member,2025-02-15,0,1,0,1,0
group_023,u_051,member,2025-05-22,7,7,2,4,1
group_023,u_052,member,2025-08-02,2,4,0,1,1
